,AAPL,AMZN,BNB,BTC,ETH,GOOGL,META,MSFT,TSLA,XRP
2020-01-20,458.284,168.72,572.98,31776.66,2953.33,133.1,135.89,356.69,200.6,1.105196
2020-01-21,457.42,179.11,583.62,58518.75,2862.74,137.26600000000002,138.24,351.12,200.5,1.134422
2020-01-22,460.83,186.96,551.86,31190.0,3066.1,132.74,134.77,351.33,201.63,1.073221
2020-01-23,462.29,181.4,501.88,30602.96,2953.7,133.26,137.54,348.88,203.7,1.7442436000000001
2020-01-24,455.4,178.91,471.55,28156.12,2945.92,136.06,137.07,355.55,202.13,1.072891
2020-01-25,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-01-26,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-01-27,457.74,173.12,520.54,27970.24,2724.89,138.36,136.64,352.49,199.11,1.124815
2020-01-28,457.332,170.1,502.53,28190.52,2687.83,140.09,134.54,351.49,193.53,1.145015
2020-01-29,452.5,174.0,507.02,28440.56,2705.45,139.17,132.78,356.04,192.76,1.127965
2020-01-30,462.51,174.62,510.86,25398.85,2618.34,141.07,130.28,360.82,189.25,1.075929
2020-01-31,459.02,172.12,509.97,23925.36,1754.4740000000002,141.06,131.69,354.94,191.63,1.052632
2020-02-01,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-02-02,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-02-03,457.06,165.64,449.46,21551.05,2466.92,142.85,132.48,359.23,193.78,0.976711
2020-02-04,455.73,163.98,443.62,20987.92,2435.79,143.41,133.38,355.57,193.57,1.030532
2020-02-05,443.6,163.51,436.14,21632.3,2496.34,145.68,130.7,357.69,195.52,1.031839
2020-02-06,457.13,160.17,456.95,20612.78,2383.52,146.7,129.71,356.11,193.59,1.011068
2020-02-07,465.32,157.24,469.67,19445.56,2255.1,148.02,129.87,378.154,192.44,0.965239
2020-02-08,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-02-09,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-02-10,474.43,156.28,476.46,19229.67,2352.52,151.752,133.01,361.93,190.56,0.97465
2020-02-11,471.24,158.19,490.16,17077.37,2319.83,148.82,133.71,358.72,189.75,0.98677
2020-02-12,463.34,170.91,480.84,19270.11,2309.63,150.44,134.43,363.7,189.64,0.937999
2020-02-13,456.33,170.53,492.35,51085.14200000001,2175.53,148.79,135.99,370.3860000000001,190.13,0.913637
2020-02-14,449.09,165.65,502.64,17665.42,2223.68,145.81,137.17,361.88,193.06,1.5975492
2020-02-15,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-02-16,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-02-17,445.74,169.49,546.97,17062.31,2202.46,143.65,137.44,358.48,195.44,0.921757
2020-02-18,464.44,173.39,480.46,18411.03,2143.09,146.03,132.504,359.53,195.19,0.880101
2020-02-19,467.32,191.158,482.71,18071.22,2048.47,146.75,137.87,354.81,197.82,0.886189
2020-02-20,467.66,180.46,488.06,18056.93,2061.45,148.88,138.26,352.62,202.03,0.931782
2020-02-21,480.14,182.76,500.28,20072.82,2112.92,147.29,135.82,356.25,196.51,0.967547
2020-02-22,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-02-23,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-02-24,475.08,188.03,506.27,19821.66,2208.6,142.48,131.94,354.68,195.41,0.887099
2020-02-25,475.42,185.3,529.49,20162.6,2350.73,144.41,131.17,356.58,195.05,0.873429
2020-02-26,472.85,179.2,517.17,31703.038,2377.1,143.49,134.82,359.12,194.56,0.890149
2020-02-27,461.79,184.18,522.9,17146.04,2323.43,146.16,130.24,355.4,197.8,1.4882938
2020-02-28,467.67,193.47,535.95,15363.15,2283.85,145.34,132.08,357.91,198.798,0.922596
2020-02-29,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-01,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-02,464.99,185.07,613.566,19097.18,2383.98,147.75,130.89,358.45,196.162,0.934273
2020-03-03,466.77,179.78,521.5,18309.81,2282.86,148.2,128.34,355.77,194.15,0.847069
2020-03-04,455.21,175.17,533.66,19019.63,2470.42,145.05,129.57,361.14,192.95,0.867757
2020-03-05,459.75,166.2,754.9480000000001,18713.13,2593.7,144.41,134.952,358.69,192.24,0.902684
2020-03-06,460.93,171.79,497.0,19791.11,2575.8,144.16,129.91,359.44,191.6,0.893646
2020-03-07,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-08,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-09,461.4,175.48,754.9480000000001,21791.64,2605.9,146.73,129.02,349.38,193.44,0.998219
2020-03-10,471.63,182.04,485.7,20805.46,2727.18,143.6,128.3,352.94,192.6,0.933866
2020-03-11,466.54,175.8,502.86,22017.36,2827.55,145.13,127.61,354.73,191.69,0.916052
2020-03-12,460.33,170.99,563.33,20974.69,2649.54,143.14,125.04,349.95,194.57,0.939517
2020-03-13,471.96,161.75,561.52,26612.309999999998,2608.08,143.63,130.04,353.31,191.16,1.025513
2020-03-14,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-15,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-16,466.42,168.61,564.31,25340.93,2579.95,142.8,130.81,352.38,190.68,1.011554
2020-03-17,466.65,171.08,522.98,21626.92,2596.97,146.55,132.52,357.19,191.31,1.013394
2020-03-18,474.94,163.08,534.88,22502.23,2582.35,145.71,131.36,353.39,192.05,0.995532
2020-03-19,467.61,164.76,542.09,23026.39,2520.05,147.7,130.06,353.05,195.87,1.022604
2020-03-20,453.45,167.39,551.26,24413.62,2479.79,143.05,133.05,358.86,190.27,1.4960423999999999
2020-03-21,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-22,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-23,458.63,160.07,593.396,34185.51,2551.016,148.54,132.88,355.85,191.93,0.989972
2020-03-24,466.02,160.39,559.49,36391.41,2501.53,147.97,129.93,357.04,191.4,1.002053
2020-03-25,466.47,158.65,548.25,34104.0,2537.0,148.70999999999998,134.73,359.98,187.49,1.018681
2020-03-26,458.43,165.99,533.88,34407.33,1826.2040000000002,147.0,134.28,360.29,189.91,1.046397
2020-03-27,450.5,161.82,550.18,34863.94,2410.72,148.23,134.59,356.13,192.53,1.6345687999999998
2020-03-28,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-29,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-03-30,450.15,165.59,568.71,32113.4,2465.6,144.83,131.56,375.166,191.04,1.020523
2020-03-31,462.54,161.48,558.92,29135.51,2357.38,143.83,130.45,354.05,198.92000000000002,1.10023
2020-04-01,464.212,168.23,526.66,26673.6,2448.52,146.48,130.73,357.57,191.82,1.4960423999999999
2020-04-02,451.58,167.13,545.2,29279.894,2454.03,148.44,128.04,358.51,190.74,1.098735
2020-04-03,441.0,169.15,552.36,28262.07,2568.58,150.71,127.22,363.26,191.74,1.157373
2020-04-04,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-04-05,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-04-06,441.22,169.77,613.96,32781.83,2638.3,148.75,126.9,364.18,192.21,1.229822
2020-04-07,450.73,169.74,623.83,32509.35,1300.592,146.33,125.41,362.54,189.5,1.257434
2020-04-08,445.42,183.592,655.68,33996.15,2711.48,152.7,127.37,361.43,196.796,1.272432
2020-04-09,449.12,167.57,678.73,36298.11,2765.88,153.43,126.6,362.78,187.86,1.298835
2020-04-10,446.41,175.17,650.0,34876.53,2757.6,148.08,127.78,356.36,186.68,1.231769
2020-04-11,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-04-12,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-04-13,448.03,170.98,634.7,30605.34,2476.33,151.66,128.34,357.32,187.92,1.225738
2020-04-14,445.12,168.486,677.98,36414.804000000004,2596.95,149.74,126.93,355.14,187.09,1.270879
2020-04-15,458.46,166.66,681.0,30018.55,2608.95,149.31,124.68,355.55,189.39,1.726905
2020-04-16,457.3059999999999,168.4,657.75,28434.04,2664.49,148.9,122.72,367.84,190.29,1.23735
2020-04-17,473.41,186.01799999999997,673.39,27525.03,2684.43,153.12,122.48,370.82,188.58,1.337726
2020-04-18,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-04-19,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-04-20,458.42,171.71,699.55,23994.59,2903.86,153.88,121.6,365.04,186.18,1.342431
2020-04-21,449.71,164.99,732.35,23554.42,2876.46,150.17000000000002,122.81,368.69,187.17,1.338396
2020-04-22,454.53,166.06,671.53,22960.93,2853.2,152.22,123.61,364.04,188.11,1.36669
2020-04-23,462.3,166.73,654.64,22402.03,2715.37,154.32,124.19,366.27,186.39,1.36206
2020-04-24,469.41,170.31,630.78,20581.92,2756.25,154.34,125.12,363.19,187.31,1.233619
2020-04-25,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-04-26,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-04-27,462.36,183.23,632.61,19047.69,1573.406,160.76,126.84,370.29,184.58,1.277563
2020-04-28,454.91,179.74,621.79,20384.24,2892.3,156.41,130.01,360.4,185.57,1.282212
2020-04-29,454.94,173.09,667.28,20670.29,3045.17,156.23,131.04,364.98,187.51,1.365722
2020-04-30,460.3,172.2,689.93,41608.302,2920.49,153.76,128.33,365.68,185.24,1.402836
2020-05-01,454.92,172.03,768.78,20253.91,3032.76,151.65,128.83,365.06,186.25,1.343363
2020-05-02,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-05-03,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-05-04,444.85,170.65,836.13,18799.19,3001.55,146.98,132.69,362.88,185.67,1.189114
2020-05-05,460.72,165.39,864.05,17176.05,3006.4,146.02,134.84,358.48,189.35,1.255959
2020-05-06,474.36,165.56,923.45,16527.89,2896.09,145.36,130.99,359.26,190.35,1.266423
2020-05-07,466.65,162.83,908.2,16270.45,2917.36,148.02,128.56,361.34,188.12,1.292861
2020-05-08,470.14,170.92,850.44,16550.11,2870.89,150.38,129.41,379.822,187.1,1.314841
2020-05-09,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-05-10,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-05-11,473.54,171.84,797.53,14424.73,2961.99,148.0,127.25,359.62,189.88,1.30561
2020-05-12,477.0,173.71,841.15,71686.524,3123.37,144.41,124.48,361.03,189.96,1.296098
2020-05-13,461.11,168.06,772.51,14938.04,3367.47,145.87,127.61,362.72,188.42,1.24052
2020-05-14,462.75,159.82,751.86,14057.18,3487.32,141.98,125.15,354.3,185.8,1.234616
2020-05-15,467.35,160.08,742.03,13191.53,3537.16,142.77,127.77,358.4,190.11,1.233916
2020-05-16,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-05-17,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-05-18,479.47,160.07,754.44,13423.04,3554.68,141.63,124.21,358.59,197.87400000000002,1.281661
2020-05-19,469.06,161.03,774.13,12330.54,3603.36,147.14,124.15,356.74,189.73,1.208851
2020-05-20,463.76,166.68,777.14,11186.48,3657.64,148.19,123.74,357.02,190.72,1.211152
2020-05-21,469.2,167.91,561.0840000000001,11930.69,3573.55,146.13,123.06,361.6,190.03,1.223541
2020-05-22,455.81,162.86,807.31,12440.52,3659.5,142.22,120.82,361.07,192.17,1.284688
2020-05-23,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-05-24,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-05-25,454.99,167.82,857.55,10797.94,3595.25,144.28,121.09,358.8,189.38,1.406779
2020-05-26,460.5,168.56,809.02,10967.37,2126.3599999999997,144.94,123.24,363.5,191.68,1.453281
2020-05-27,458.32,180.16,849.97,10941.59,3546.15,145.72,123.63,361.62,191.5,1.481466
2020-05-28,449.07,177.03,859.58,10368.64,3528.04,147.3,121.86,362.32,194.87,1.490671
2020-05-29,441.72,174.51,902.85,10228.33,3454.11,146.55,121.27,361.62,193.32,1.522027
2020-05-30,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-05-31,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-06-01,445.12,170.22,897.92,9747.74,3470.46,150.43,122.66,363.06,189.49,1.555098
2020-06-02,453.94,170.16,561.0840000000001,10018.35,3331.89,150.37,124.11,361.06,187.53,1.53844
2020-06-03,444.79,168.81,883.62,10829.38,3224.83,148.39,125.59400000000001,367.13,193.54,1.61958
2020-06-04,450.87,170.31,888.61,10282.95,3264.74,143.46,123.8,363.22,190.18,1.612705
2020-06-05,456.67,161.8,942.75,10562.9,3218.91,143.55,121.29,367.13,188.51,1.594294
2020-06-06,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-06-07,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-06-08,469.01,163.31,857.63,11692.91,2919.92,146.01,123.17,366.95,190.19,1.631009
2020-06-09,467.73,165.02,872.99,11483.63,2845.4,146.11,129.91000000000003,361.71,194.37,1.652538
2020-06-10,459.16,172.47,795.08,12688.91,2896.13,143.38,122.97,361.53,195.47,1.569668
2020-06-11,458.2,175.79,804.04,12838.39,2846.09,148.79,123.41,358.45,194.02,1.550784
2020-06-12,455.9,175.81,788.52,14286.39,2707.18,147.47,123.88,362.84,195.69,1.50595
2020-06-13,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-06-14,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-06-15,461.26,176.96,882.49,15011.98,2588.89,140.52,123.95,365.29,193.2,1.472226
2020-06-16,466.84,167.81,901.04,14388.66,2537.98,137.48,127.54,362.01,192.55,1.440079
2020-06-17,458.94,172.91,951.96,15104.06,2566.12,140.58,126.39,361.58,191.67,1.4393
2020-06-18,462.09,177.1,982.43,14659.08,2580.23,141.25,125.15,361.61,192.74,1.449086
2020-06-19,459.87,173.56,975.96,14239.14,2621.58,142.96,122.21,362.86,190.14,1.446925
2020-06-20,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-06-21,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-06-22,456.42,169.16,1039.18,15720.88,1070.374,142.69,124.77,359.76,190.8,1.381637
2020-06-23,456.524,166.91,1066.9,16534.18,2552.44,144.42,125.8,360.03,193.89,1.405143
2020-06-24,442.98,169.01,1072.24,17096.76,2460.93,142.11,125.55,356.84,193.41,1.510384
2020-06-25,441.21,164.52,1074.72,16891.6,2508.69,143.81,124.24,364.71,189.31,1.606039
2020-06-26,447.96,164.38,1098.8,15913.03,2441.65,146.0,123.61,364.63,187.68,1.685893
2020-06-27,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-06-28,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-06-29,444.45,169.89,1015.1,15599.2,2517.75,144.82,121.17,366.7,187.69,1.66884
2020-06-30,451.88,175.63,1038.82,16626.82,2535.73,146.59,120.07,370.78,189.6,1.685639
2020-07-01,452.31,177.98,956.21,15847.24,2523.09,143.43,120.7,371.31,193.81,1.724757
2020-07-02,451.4,174.91,959.56,14738.23,2346.75,144.73,122.0,373.79,198.304,1.756471
2020-07-03,461.44,173.55,912.47,15050.19,2375.47,143.29,121.7,375.93,195.09,1.802153
2020-07-04,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-07-05,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-07-06,470.05,179.85,850.63,13107.52,2471.61,145.52,119.07,382.756,197.43,1.848784
2020-07-07,466.14,178.45,792.05,13181.2,2525.24,146.84,117.29,370.47,196.76600000000002,1.921593
2020-07-08,469.78,177.21,795.03,25254.468,2455.64,154.42,118.61,368.88,194.08,1.813065
2020-07-09,463.29,182.52,805.4,14563.41,2413.02,156.84,120.43,363.47,197.07,1.9522052000000003
2020-07-10,454.29,180.8,810.54,13728.02,2393.65,154.16,121.56,367.93,197.81,1.922339
2020-07-11,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-07-12,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-07-13,438.5,181.13,790.89,13400.6,2312.81,152.72,120.93,386.45,199.65,2.044583
2020-07-14,452.27,175.78,789.94,13148.13,2334.08,152.86,119.18,372.57,200.88,2.010388
2020-07-15,458.54,171.33,765.31,26435.597999999998,2340.8,152.62,119.39,377.66,200.0,1.982814
2020-07-16,461.03,177.24,855.01,16070.55,2381.62,152.53,119.33,382.92,196.21,1.966496
2020-07-17,464.48,174.02,790.3,17995.22,2373.59,152.58,118.1,383.63800000000003,196.89,2.181287
2020-07-18,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-07-19,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-07-20,456.79,171.76,793.75,19133.96,2200.71,153.112,118.22,371.24,196.97,2.349218
2020-07-21,466.43,177.35,839.01,17357.2,2199.21,152.54,120.55,369.82,196.96,2.2316639999999994
2020-07-22,464.07,180.25,810.91,17387.92,2084.56,153.34,121.95,371.4,197.22,2.374459
2020-07-23,456.924,181.4,843.22,16131.23,2023.67,153.01,120.43,368.42,198.53,2.344911
2020-07-24,454.9,187.1,805.5,26424.112,2052.45,149.24,119.92,371.32,197.71,2.275979
2020-07-25,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-07-26,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-07-27,454.47,182.59,756.16,17180.31,1971.08,153.76,121.67,367.54,195.15,2.025397
2020-07-28,458.0379999999999,176.7,792.01,17520.07,1947.86,156.17,122.38,364.38,198.63,2.2401805999999995
2020-07-29,453.96,176.8,804.38,14905.28,1945.59,153.34,121.48,365.38,195.26,1.950265
2020-07-30,446.53,176.93,823.37,15488.54,1983.76,146.07,121.56,367.58,193.95,1.908879
2020-07-31,451.63,179.77,846.91,16685.47,1902.42,150.312,122.2,366.81,193.09,1.914657
2020-08-01,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-08-02,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-08-03,442.48,186.92,720.9860000000001,16794.79,1941.89,141.23,124.16,366.12,190.02,1.953215
2020-08-04,447.09,184.04,784.49,15887.95,1902.08,139.86,124.85,363.45,191.46,1.954121
2020-08-05,451.18,180.38,839.31,14683.58,1816.61,142.54,124.49,369.41,192.63,2.036243
2020-08-06,452.76,180.28,835.44,14230.85,1773.7,141.01,124.072,370.07,197.15,2.03495
2020-08-07,455.15,183.24,874.52,14455.75,1857.15,144.18,121.63,374.54,199.46,2.207622
2020-08-08,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-08-09,459.8548835341366,203.86717886178863,668.4439870863599,67977.37674937966,1101.7411740890686,155.20323362974938,133.74940794809407,402.88183508488277,213.98829406986192,2.2086419268292685
2020-08-10,459.67,177.18,905.52,15994.53,1806.82,149.56,122.66,376.64,198.46,2.556659
2020-08-11,453.33,179.9,980.47,15931.73,1767.82,149.74,121.36,379.22,197.71,2.568797
2020-08-12,445.97,190.72,988.71,16775.93,1832.18,147.99,122.09,373.57,194.62,2.393201
